r,count
10,1
10.5,199
11,1052
11.5,2263
12,34150
12.5,178066
13,324749
13.5,459906
14,663666
14.5,974374
15,1411543
15.5,2016844
16,2852275
16.5,3989788
17,5493066
17.5,7476908
18,10027270
18.5,13190121
19,16946480
19.5,21065518
20,25043395
20.5,27787135
21,26852623
21.5,19959596
22,6773465
22.5,680442
23,51564
23.5,3645
24,316
24.5,1
