r,count
12,26
12.5,649
13,56993
13.5,233792
14,416421
14.5,652361
15,982368
15.5,1457477
16,2134903
16.5,3083777
17,4368381
17.5,6100581
18,8362186
18.5,11216725
19,14514892
19.5,16583260
20,12731791
20.5,3374497
21,179730
21.5,1524
