mag,mean,std
12.5,0.0299777499699997,0.0252277442040827
13,0.0234881059343988,0.0186592571537308
13.5,0.0237821293843182,0.0217953577311047
14,0.0237600578487088,0.0219935678619633
14.5,0.0242280991850973,0.0224065823574617
15,0.0247244315693414,0.0263346593480907
15.5,0.0249972602135656,0.0226068372931141
16,0.0254585573293835,0.0250738030621746
16.5,0.0259856731000522,0.0267266305957527
17,0.0265692551515489,0.0269368795613863
17.5,0.0277222148939786,0.0288619225980211
18,0.0297851692987537,0.0324654459276707
18.5,0.0336564918100897,0.0366619047180769
19,0.0405385372968768,0.0432884132656386
19.5,0.0502854731683149,0.0514920243936496
20,0.0603351351342496,0.0586416047907158
20.5,0.0716736505151931,0.0657293045789717
21,0.0925352101286773,0.0763296977494211
21.5,0.127477142498352,0.0937679179730698
