mag,mean,std
10,0.0478184563773019,0.0282702298422225
10.5,0.11510387543709,0.178868113942463
11,0.419490737476568,1.35030972636379
11.5,0.0401916597078947,0.205929526142351
12,0.0282422421394596,0.0892269972937111
12.5,0.0268639164212415,0.0640969045393719
13,0.0270493543735892,0.0618704830883023
13.5,0.0271865528001366,0.0428091333391357
14,0.027520463739227,0.0365406415766374
14.5,0.0280857210263411,0.0393359071278908
15,0.0288228792890415,0.0469525473359834
15.5,0.0296059140059089,0.0469114310540571
16,0.030737501499637,0.0497392959718046
16.5,0.0324163603412701,0.0564030385871443
17,0.0348169359053191,0.0568422485367063
17.5,0.0391703079203744,0.0598416480723845
18,0.0468430466046671,0.0663518413447882
18.5,0.0596928792444818,0.073857998198038
19,0.0804373866947749,0.087568918869303
19.5,0.1113123494157,0.109197611872571
20,0.149594165361826,0.133839389905873
20.5,0.19131694920851,0.161922984861892
21,0.251513391776267,0.201395442800458
21.5,0.405814916355514,0.278931519978319
22,0.7668135845673,0.425125924082591
22.5,1.30295256804244,0.592747754762791
23,1.66128751064869,0.574966160072975
