run,zp
370117,21.37
370118,24.51
370119,23.89
370120,21.37
370121,24.51
370122,23.89
370123,21.37
370124,24.51
370125,23.89
370126,21.37
370127,24.51
370128,23.89
370129,21.37
370130,24.51
370131,23.89
370132,21.37
370133,24.51
370134,23.89
370135,21.37
370137,24.51
370138,23.89
370139,21.37
370140,24.51
370142,23.89
370149,21.37
370150,24.51
370151,23.89
370152,21.37
370153,24.51
370154,23.89
371405,21.36
371406,24.5
371407,23.88
371408,21.36
371409,24.5
371410,23.88
371514,21.36
371515,24.5
371516,23.88
371517,21.36
371518,24.5
371519,23.88
371520,21.36
371521,24.5
371522,23.88
371523,21.36
371524,24.5
371525,23.88
371526,21.36
371527,24.5
371528,23.88
371529,21.36
371530,24.5
371531,23.88
371532,21.36
371533,24.5
371534,23.88
371535,21.38
371536,24.52
371537,23.9
371538,21.38
371539,24.52
371540,23.9
371541,21.38
371542,24.52
371543,23.9
371545,21.38
371546,24.52
371547,23.9
371548,21.38
371549,24.52
371550,23.9
371551,21.38
371552,24.52
371553,23.9
371554,21.38
371555,24.52
371556,23.9
371557,21.38
371558,24.52
371559,23.9
371560,21.38
371561,24.52
371562,23.9
371563,21.38
371564,24.52
371565,23.9
371566,21.38
371567,24.52
371568,23.9
371575,21.38
371576,24.52
371577,23.9
371578,21.38
371579,24.52
371580,23.9
371587,21.38
371588,24.52
371589,23.9
371590,21.38
371591,24.52
371592,23.9
371593,21.38
371594,24.52
371595,23.9
371596,21.38
371597,24.52
371598,23.9
371605,21.38
371606,24.52
371607,23.9
371608,21.38
371609,24.52
371610,23.9
371611,21.38
371612,24.52
371613,23.9
371614,21.38
371615,24.52
371616,23.9
371617,21.38
371618,24.52
371619,23.9
371620,21.38
371621,24.52
371622,23.9
371623,21.38
371624,24.52
371625,23.9
371626,21.38
371627,24.52
371628,23.9
371629,21.38
371630,24.52
371631,23.9
371632,21.38
371633,24.52
371634,23.9
371635,21.38
371636,24.52
371637,23.9
371638,21.38
371639,24.52
371640,23.9
371641,21.38
371642,24.52
371643,23.9
371644,21.38
371645,24.52
371646,23.9
371647,21.38
371648,24.52
371649,23.9
371650,21.38
371651,24.52
371652,23.9
371659,21.38
371660,24.52
371661,23.9
371662,21.38
371663,24.52
371664,23.9
371665,21.38
371666,24.52
371667,23.9
371668,21.38
371669,24.52
371670,23.9
371671,21.38
371672,24.52
371673,23.9
371674,21.38
371675,24.52
371677,23.9
371678,21.38
371679,24.52
371680,23.9
371681,21.38
371682,24.52
371683,23.9
371690,21.38
371691,24.52
371692,23.9
371693,21.38
371694,24.52
371695,23.9
371696,21.38
371697,24.52
371698,23.9
371699,21.38
371700,24.52
371701,23.9
371702,21.38
371703,24.52
371704,23.9
371705,21.38
371706,24.52
371707,23.9
371708,21.38
371709,24.52
371710,23.9
371711,21.38
371712,24.52
371713,23.9
371714,21.38
371715,24.52
371716,23.9
371717,21.38
371718,24.52
371719,23.9
371720,21.38
371721,24.52
371722,23.9
371723,21.38
371724,24.52
371725,23.9
371738,21.38
371739,24.52
371740,23.9
371741,21.38
371742,24.52
371743,23.9
371744,21.38
371745,24.52
371746,23.9
371747,21.38
371748,24.52
371749,23.9
371750,21.38
371751,24.52
371752,23.9
371753,21.38
371754,24.52
371755,23.9
371756,21.38
371757,24.52
371758,23.9
371759,21.38
371760,24.52
371761,23.9
372546,21.36
372547,24.5
372548,23.86
372549,21.36
372550,24.5
372551,23.86
372552,21.36
372553,24.5
372554,23.86
372555,21.36
372556,24.5
372557,23.86
372558,21.36
372559,24.5
372560,23.86
372561,21.36
372562,24.5
372563,23.86
372576,21.36
372577,24.5
372578,23.86
372579,21.36
372580,24.5
372581,23.86
372588,21.36
372589,24.5
372590,23.86
372591,21.36
372592,24.5
372593,23.86
372594,21.36
372595,24.5
372596,23.86
372597,21.36
372598,24.5
372599,23.86
372600,21.36
372601,24.5
372602,23.86
372603,21.36
372604,24.5
372605,23.86
372606,21.36
372607,24.5
372608,23.86
372609,21.36
372610,24.5
372611,23.86
372630,21.36
372631,24.5
372632,23.86
372633,21.36
372634,24.5
372635,23.86
372649,21.36
372650,24.5
372651,23.86
372652,21.36
372653,24.5
372654,23.86
372655,21.36
372656,24.5
372657,23.86
372658,21.36
372659,24.5
372660,23.86
372661,21.36
372662,24.5
372663,23.86
372664,21.36
372665,24.5
372666,23.86
372667,21.36
372668,24.5
372670,23.86
372671,21.36
372672,24.5
372673,23.86
372674,21.36
372675,24.5
372676,23.86
372677,21.36
372678,24.5
372679,23.86
372680,21.36
372681,24.5
372682,23.86
372683,21.36
372684,24.5
372686,23.86
372687,21.36
372688,24.5
372689,23.86
372690,21.36
372691,24.5
372692,23.86
372693,21.36
372694,24.5
372695,23.86
372696,21.36
372697,24.5
372698,23.86
372699,21.36
372700,24.5
372701,23.86
372702,21.36
372703,24.5
372704,23.86
372705,21.36
372706,24.5
372707,23.86
372708,21.36
372709,24.5
372710,23.86
372711,21.36
372712,24.5
372713,23.86
372714,21.36
372715,24.5
372716,23.86
372717,21.36
372718,24.5
372719,23.86
372720,21.36
372722,24.5
372723,23.86
372725,21.36
372726,24.5
372727,23.86
372728,21.36
372729,24.5
372730,23.86
372731,21.36
372732,24.5
372733,23.86
372734,21.36
372735,24.5
372736,23.86
372737,21.36
372738,24.5
372739,23.86
372740,21.36
372741,24.5
372742,23.86
372743,21.36
372744,24.5
372745,23.86
372746,21.36
372747,24.5
372748,23.86
372749,21.36
372750,24.5
372751,23.86
372752,21.36
372753,24.5
372754,23.86
372755,21.36
372756,24.5
372757,23.86
372758,21.36
372759,24.5
372760,23.86
372761,21.36
372762,24.5
372763,23.86
372764,21.36
372765,24.5
372766,23.86
372767,21.36
372768,24.5
372769,23.86
372770,21.36
372771,24.5
372772,23.86
372773,21.36
372774,24.5
372775,23.86
372776,21.36
372777,24.5
372778,23.86
372779,21.36
372780,24.5
372781,23.86
372782,21.36
372783,24.5
372784,23.86
372806,21.36
372807,24.5
372808,23.86
372809,21.36
372810,24.5
372811,23.86
372812,21.36
372813,24.5
372814,23.86
372815,21.36
372816,24.5
372817,23.86
372818,21.36
372819,24.5
372820,23.86
372821,21.36
372823,24.5
372824,23.86
372825,21.36
372826,24.5
372827,23.86
372828,21.36
372829,24.5
372830,23.86
372832,21.36
372833,24.5
372834,23.86
372835,21.36
372836,24.5
372837,23.86
372838,21.36
372839,24.5
372840,23.86
372841,21.36
372842,24.5
372843,23.86
372850,21.36
372851,24.5
372852,23.86
372853,21.36
372854,24.5
372855,23.86
372856,21.36
372857,24.5
372858,23.86
372859,21.36
372860,24.5
372861,23.86
372862,21.36
372863,24.5
372865,23.86
372866,21.36
372867,24.5
372868,23.86
372869,21.36
372870,24.5
372871,23.86
372872,21.36
372873,24.5
372874,23.86
372875,21.36
372876,24.5
372877,23.86
372878,21.36
372879,24.5
372880,23.86
372881,21.36
372882,24.5
372883,23.86
372885,21.36
372886,24.5
372887,23.86
372888,21.36
372889,24.5
372890,23.86
372891,21.36
372892,24.5
372893,23.86
372900,21.36
372901,24.5
372902,23.86
372903,21.36
372904,24.5
372905,23.86
372906,21.36
372907,24.5
372908,23.86
372910,21.36
372911,24.5
372912,23.86
372913,21.36
372914,24.5
372915,23.86
372916,21.36
372917,24.5
372918,23.86
372925,21.36
372926,24.5
372927,23.86
372928,21.36
372929,24.5
372930,23.86
372931,21.36
372932,24.5
372933,23.86
372934,21.36
372935,24.5
372936,23.86
372937,21.36
372938,24.5
372939,23.86
372940,21.36
372942,24.5
372943,23.86
372950,21.36
372951,24.5
372952,23.86
372953,21.36
372954,24.5
372955,23.86
372956,21.36
372957,24.5
372958,23.86
372959,21.36
372960,24.5
372961,23.86
373105,21.36
373106,24.5
373107,23.85
373108,21.36
373109,24.5
373111,23.85
373118,21.36
373119,24.5
373120,23.85
373121,21.36
373122,24.5
373123,23.85
373124,21.36
373125,24.5
373126,23.85
373127,21.36
373128,24.5
373129,23.85
373136,21.36
373137,24.5
373138,23.85
373139,21.36
373140,24.5
373141,23.85
373142,21.36
373143,24.5
373144,23.85
373145,21.36
373146,24.5
373147,23.85
373148,21.36
373149,24.5
373150,23.85
373151,21.36
373152,24.5
373153,23.85
373154,21.36
373155,24.5
373156,23.85
373157,21.36
373158,24.5
373159,23.85
373172,21.36
373173,24.5
373174,23.85
373175,21.36
373176,24.5
373177,23.85
373178,21.36
373179,24.5
373180,23.85
373181,21.36
373182,24.5
373183,23.85
373184,21.36
373185,24.5
373186,23.85
373187,21.36
373188,24.5
373189,23.85
373190,21.36
373191,24.5
373192,23.85
373193,21.36
373194,24.5
373195,23.85
373196,21.36
373197,24.5
373198,23.85
373199,21.36
373200,24.5
373201,23.85
373208,21.36
373209,24.5
373210,23.85
373211,21.36
373212,24.5
373213,23.85
373220,21.36
373221,24.5
373222,23.85
373223,21.36
373224,24.5
373225,23.85
373226,21.36
373227,24.5
373228,23.85
373229,21.36
373230,24.5
373231,23.85
373236,21.36
373237,24.5
373238,23.85
373239,21.36
373240,24.5
373241,23.85
373392,21.36
373393,24.5
373394,23.85
373395,21.36
373396,24.5
373397,23.85
373398,21.36
373399,24.5
373400,23.85
373401,21.36
373402,24.5
373403,23.85
373666,21.36
373667,24.5
373668,23.86
373669,21.36
373670,24.5
373671,23.86
373679,21.36
373680,24.5
373681,23.86
373682,21.36
373683,24.5
373684,23.86
373685,21.36
373686,24.5
373688,23.86
373689,21.36
373690,24.5
373691,23.86
373692,21.36
373693,24.5
373694,23.86
373695,21.36
373697,24.5
373698,23.86
373785,21.36
373786,24.5
373787,23.86
373788,21.36
373789,24.5
373790,23.86
373803,21.36
373804,24.5
373805,23.86
373806,21.36
373807,24.5
373808,23.86
373809,21.36
373810,24.5
373811,23.86
373812,21.36
373813,24.5
373814,23.86
374029,21.36
374030,24.5
374031,23.86
374032,21.36
374033,24.5
374034,23.86
374035,21.36
374036,24.5
374037,23.86
374038,21.36
374039,24.5
374040,23.86
374047,21.36
374048,24.5
374050,23.86
374051,21.36
374052,24.5
374053,23.86
374903,21.43
374904,24.57
374905,23.9
374906,21.43
374907,24.57
374908,23.9
374915,21.43
374916,24.57
374917,23.9
374918,21.43
374919,24.57
374920,23.9
374921,21.43
374922,24.57
374923,23.9
374924,21.43
374925,24.57
374926,23.9
374927,21.43
374928,24.57
374929,23.9
374930,21.43
374931,24.57
374932,23.9
374933,21.43
374934,24.57
374935,23.9
374936,21.43
374937,24.57
374938,23.9
374984,21.43
374985,24.57
374986,23.9
374987,21.43
374988,24.57
374989,23.9
374999,21.43
375000,24.57
375001,23.9
375002,21.43
375003,24.57
375004,23.9
375023,21.43
375024,24.57
375025,23.9
375026,21.43
375027,24.57
375028,23.9
375035,21.43
375036,24.57
375037,23.9
375038,21.43
375039,24.57
375040,23.9
375041,21.43
375042,24.57
375043,23.9
375044,21.43
375045,24.57
375046,23.9
375047,21.43
375048,24.57
375049,23.9
375050,21.43
375051,24.57
375052,23.9
375059,21.43
375060,24.57
375061,23.9
375062,21.43
375063,24.57
375064,23.9
375113,21.43
375114,24.57
375115,23.9
375116,21.43
375117,24.57
375118,23.9
376408,21.43
376409,24.57
376410,23.94
376411,21.43
376412,24.57
376413,23.94
376420,21.43
376421,24.57
376422,23.94
376423,21.43
376424,24.57
376425,23.94
376432,21.43
376433,24.57
376434,23.94
376435,21.43
376436,24.57
376437,23.94
376444,21.43
376445,24.57
376446,23.94
376447,21.43
376448,24.57
376449,23.94
376450,21.43
376451,24.57
376452,23.94
376453,21.43
376454,24.57
376455,23.94
376462,21.43
376463,24.57
376464,23.94
376465,21.43
376466,24.57
376467,23.94
376480,21.43
376481,24.57
