l,count,rmi,rmha
29,312805,1.27667423037342,0.469059961268756
30,2363163,1.30530877695113,0.47729592278651
31,2245093,1.38554657150807,0.494914698759519
32,2895768,1.31332390249865,0.465999600317706
33,3077703,1.25797402730274,0.448858914152856
34,2437295,1.25909250539125,0.456833456215728
35,1853488,1.22121748819427,0.457390709377757
36,2158855,1.19420982220282,0.45582510317736
37,2414071,1.15844922111232,0.440894467046864
38,2115140,1.1832883855861,0.445041988228059
39,1637624,1.3146761422132,0.48662759146306
40,1657887,1.31467477033555,0.482424430517011
41,1690740,1.33068546997287,0.479634730061473
42,2132633,1.21738868943734,0.461594402079391
43,2685334,1.1734456725228,0.455884190556049
44,2948080,1.07830025447822,0.43462721053976
45,2722049,1.14995734319394,0.44387877337259
46,2370061,1.13361448742064,0.446035616385531
47,2743696,1.06898191642965,0.423854491080694
48,2693701,1.05109638469097,0.420893079316125
49,2844933,1.04885964625406,0.424915428070722
50,2727757,1.09836165932782,0.438176124543167
51,2264297,1.11946620398425,0.444107533490857
52,2252966,1.10837511315166,0.445692760164992
53,2415513,1.08509337481603,0.43925837541236
54,2824499,1.13485160231269,0.441512244299787
55,2940246,1.07761602555384,0.429207648706599
56,3084985,1.07807196897095,0.440494753758278
57,2554038,1.07926850566577,0.438840204546865
58,2607725,1.02849704908676,0.422532088623852
59,2943052,0.980083868266859,0.409955132240628
60,2860636,1.01605532461887,0.422362199527414
61,2819779,1.03165339168133,0.42914455770482
62,2308709,1.04655511860269,0.43052875783866
63,2326749,0.982299388694577,0.41133769879167
64,2671551,0.953495401358491,0.407599742266388
65,2687036,0.989103815962781,0.418140706610552
66,2276053,1.01596311300566,0.413950444837229
67,2299493,0.980659925665057,0.411474131705408
68,2318049,1.00661401836478,0.417041177484845
69,2195750,0.999338748341326,0.41340603644408
70,2089347,1.011182113287,0.425480575518979
71,1838472,1.05061585339248,0.435876394415107
72,1958190,1.01478053726825,0.432075090532823
73,2031362,0.994377042745072,0.420568631561214
74,1846720,1.02604591912038,0.432121890202352
75,1657667,1.0516656082697,0.440904896942247
76,1656853,1.04680163545956,0.451630930054192
77,1516797,1.1227898393761,0.490601000254473
78,1325829,1.13269294227584,0.510245736540887
79,1091147,1.20647284625605,0.543463958050214
80,1102500,1.29147723151375,0.536628858505966
81,1072220,1.25244994926124,0.517971698775141
82,834413,1.21577636317303,0.498760859733889
83,953386,1.28461072223365,0.509148137929241
84,1141226,1.26586471423624,0.517017615512989
85,1281409,1.20627544363263,0.520194735802145
86,1549061,1.07728880550978,0.457235800994254
87,1569200,1.01968260560892,0.438124638397799
88,1562272,1.00239812596093,0.429062211673864
89,1377956,1.05382746771646,0.428640702798362
90,1257006,1.09960118621869,0.439192839285013
91,1045497,1.10744962691464,0.436211027391852
92,956549,1.08677059090165,0.435829925916808
93,1006760,1.0775871312246,0.432192488140649
94,981034,1.10661644596876,0.444499120388848
95,1113805,1.07999288005723,0.4466052382651
96,1226324,1.04817096173327,0.435386727938344
97,1353795,1.01920185029395,0.431324907109893
98,1260968,0.985437158193564,0.423781756618756
99,1265272,0.960047276602435,0.434138957927506
100,1234804,0.941023793956737,0.423224253234094
101,1334002,0.907066064072342,0.406627022495635
102,1281702,0.939644807840842,0.415498953458065
103,1206092,0.971546392735536,0.424651280911187
104,1129050,0.971049151126273,0.416465608956097
