l,count,rmi,rmha
29,198773,1.34806814601069,0.473639363369057
30,1655503,1.370860381774,0.487394260756602
31,1740667,1.4266927646562,0.500846771676836
32,1967554,1.37204030841111,0.473544328144273
33,1966759,1.33937847679346,0.458129098087564
34,1745107,1.34354187627022,0.470982929220489
35,1414144,1.283572960462,0.46745044534814
36,1626189,1.24424324473627,0.461698158929668
37,1723889,1.21486335734013,0.447185949220767
38,1510364,1.23874100682296,0.45244970063228
39,1296228,1.37010241079376,0.49530122211112
40,1327220,1.35687946665317,0.488342889995852
41,1385973,1.37059878724059,0.486854301488707
42,1627798,1.26166978642983,0.467775196799634
43,1943615,1.22348634924054,0.463639482423244
44,2010077,1.14019321201603,0.442432820124167
45,2013878,1.18460951133342,0.446874724637319
46,1745109,1.15382585753078,0.445282640647889
47,1932482,1.10969116198511,0.426947976247398
48,1930654,1.09818151134333,0.426680430394756
49,2073444,1.09513058873928,0.429872999269315
50,2028344,1.1496697147985,0.445395757958686
51,1749399,1.17232760734873,0.453277409941396
52,1733685,1.16178814571877,0.453771764343758
53,1827281,1.14158010742397,0.447759490892581
54,2133804,1.18303132332147,0.446213314919186
55,2148855,1.12348263242504,0.433057226190975
56,2191940,1.11532380875943,0.44390652593775
57,1879819,1.12231486102041,0.44376165666273
58,1925744,1.07065966111205,0.42757138610304
59,2100744,1.02108530440197,0.416052071876246
60,2084838,1.04873849954527,0.424158570348245
61,2062901,1.06767336932907,0.431793683402609
62,1746528,1.09453336149999,0.43846348726573
63,1735790,1.03310312176481,0.418038668012192
64,1896034,1.01119234186732,0.414563572236926
65,1948400,1.03834360237412,0.425139218150947
66,1704729,1.06000670244512,0.421029274228939
67,1702533,1.02512469574566,0.420176612944562
68,1729264,1.04706612954447,0.424958967226433
69,1655494,1.04290914505299,0.421626171159198
70,1594471,1.05034178421679,0.43255505314517
71,1469430,1.08834738480004,0.443893133646948
72,1536409,1.05960400976129,0.441800997880246
73,1542682,1.04564976743846,0.430871733417639
74,1429715,1.079234222636,0.443818563361582
75,1325574,1.09567837227393,0.449017545617048
76,1381549,1.07422709589369,0.453645069103109
77,1287135,1.15409725550612,0.4903793963435
78,1160703,1.164006502473,0.505729407416547
79,975597,1.2375782920472,0.527478353345425
80,1001847,1.3214054268191,0.535723523462981
81,960724,1.28366338202541,0.521397706376707
82,751364,1.24314862793174,0.504723269488888
83,858208,1.30959559879459,0.514226582776867
84,1023473,1.28664059421901,0.519543087784828
85,1136452,1.22663883610056,0.511653143457967
86,1324950,1.10112924987853,0.462967392746101
87,1304084,1.04889414668178,0.445653316198706
88,1306645,1.03313638157248,0.436471459232273
89,1179223,1.08188643945262,0.435199236577486
90,1082799,1.12872518458413,0.445489814302457
91,896827,1.14914058279652,0.446448382953863
92,835961,1.116398072982,0.442365852284002
93,873761,1.10937977938217,0.43885708655439
94,866430,1.13531013879696,0.45104587413362
95,975915,1.10393218038343,0.452366377949549
96,1058724,1.07230752220077,0.441092562110579
97,1143096,1.0464012287922,0.438391656769526
98,1072439,1.01033425666798,0.430544791860792
99,1070648,0.986774372538378,0.441136457221182
100,1034970,0.974543439881272,0.432428781772169
101,1105635,0.935213881240167,0.414680152776936
102,1077372,0.967013476973955,0.42332185144819
103,1046413,0.989424567248971,0.429148107962001
104,983929,0.987563345318606,0.420686547232163
105,1007107,0.973401389185812,0.418107293573262
106,963006,1.00415092039354,0.432419789546576
107,922189,1.03471869965588,0.442454011364378
108,856996,1.07391265866449,0.452110877926245
109,792128,1.10416458902863,0.460193149346034
110,718475,1.11462538160871,0.459752509122677
111,662478,1.16135388935218,0.479336610733174
112,700385,1.14696333520352,0.468586780157874
113,796466,1.0923524203797,0.448256228200923
114,778611,1.13258595784931,0.45681446019145
115,697165,1.15618504485233,0.460251143201174
116,723038,1.08688501059729,0.450005189356163
117,804493,1.00796805211508,0.4360886532975
118,815659,1.02354696632175,0.441403966378926
119,816467,1.09442582097551,0.460732074084535
120,793598,1.13631494778757,0.467137075250406
121,732261,1.12248736437589,0.458596397586293
122,803470,1.08988200308388,0.45418327715554
123,801818,1.04370381444894,0.450929141347543
124,747859,1.06354570405394,0.44795320337555
125,634672,1.06068164372646,0.447102311026205
126,619464,1.00738561417089,0.431859933798068
127,641994,0.963105471354461,0.414831272245755
128,708286,0.947505089733247,0.411321303915556
129,723459,0.965572529222168,0.421694692337032
130,781753,0.95686507788186,0.420585908554985
131,759286,0.938408702318076,0.417711912007287
