RUN,CCD,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,REFRUN
464697,1,284.41205,6.7498922,-315.44,3074.3,-1.2758671e-06,-9.2476257e-05,-9.2470873e-05,1.3027646e-06,464696
464724,3,347.64816,59.099174,3880.55,2951.3,-1.409881e-06,-9.2449377e-05,-9.2538663e-05,1.3800092e-06,464723
470711,3,70.786461,48.178932,3886.35,2953.8,-1.4529639e-06,-9.2468887e-05,-9.2501825e-05,1.4430267e-06,470713
471401,3,50.002193,51.944378,3905.3,2957.15,-1.4343306e-06,-9.2433581e-05,-9.2520459e-05,1.4306029e-06,471403
473729,3,89.638878,22.333849,3863.65,2953.1,-1.5029557e-06,-9.246666e-05,-9.2472037e-05,1.4795249e-06,473728
473968,3,305.25375,37.369495,3852.65,2942.2,-1.6200853e-06,-9.2407696e-05,-9.2454604e-05,1.6260479e-06,473970
474785,1,299.94846,36.824299,-382.23,3070.3,-1.4032287e-06,-9.2480892e-05,-9.2473922e-05,1.4621537e-06,474786
474857,1,358.3248,65.234978,-377.06,3057.25,-1.3080785e-06,-9.2501816e-05,-9.2497728e-05,1.3538158e-06,474856
474864,4,358.302,60.202797,1728.55,3020.45,-1.3356108e-06,-9.2392465e-05,-9.2439856e-05,1.3307612e-06,474866
475224,3,300.83109,31.607628,3826.3,2942.95,-1.6206252e-06,-9.2364578e-05,-9.2425478e-05,1.6308644e-06,475226
475234,4,301.10376,33.707603,1732.2,3013.5,-1.3562499e-06,-9.2454036e-05,-9.2414615e-05,1.358291e-06,475235
475353,1,349.67136,64.686203,-365.93,3056.9,-1.3430862e-06,-9.2493341e-05,-9.2485825e-05,1.4022407e-06,475352
475385,1,349.72137,55.801529,-355.38,3063.0,-1.3667376e-06,-9.2499817e-05,-9.2479058e-05,1.4053044e-06,475386
475581,3,289.03433,18.036261,3851.35,2926.35,-1.6193977e-06,-9.2440801e-05,-9.2451752e-05,1.6256163e-06,475582
475888,1,61.182552,54.60516,-377.83,3062.45,-1.2560391e-06,-9.2442315e-05,-9.249647e-05,1.3111903e-06,475890
475896,3,61.215214,48.737335,3841.6,2948.85,-1.4811877e-06,-9.2471942e-05,-9.2451213e-05,1.4893519e-06,475895
475971,1,302.33514,31.140949,-387.05,3072.45,-1.3520054e-06,-9.2415723e-05,-9.2483009e-05,1.4411304e-06,475973
475972,4,302.33932,31.140949,1725.1,3016.15,-1.3768808e-06,-9.2449722e-05,-9.2416107e-05,1.3767682e-06,475973
476033,4,302.633,26.370707,1748.5,3009.8,-1.3963468e-06,-9.246944e-05,-9.2433045e-05,1.3676629e-06,476032
476054,4,359.72385,59.182495,1753.95,3014.65,-1.2979251e-06,-9.2375247e-05,-9.2440081e-05,1.2957695e-06,476056
476059,1,359.57898,62.218288,-384.15,3057.95,-1.3284996e-06,-9.2496515e-05,-9.247331e-05,1.3420283e-06,476058
476572,1,41.285374,56.070591,-392.73,3059.35,-1.2611204e-06,-9.2430387e-05,-9.2503411e-05,1.3114983e-06,476574
476683,3,90.165474,18.032675,3847.45,2941.35,-1.5059256e-06,-9.2392066e-05,-9.2467708e-05,1.4970601e-06,476685
476743,3,285.51242,4.188201,3840.3,2936.3,-1.6132643e-06,-9.2457602e-05,-9.2449052e-05,1.5916428e-06,476742
476792,3,312.34155,45.171844,3839.2,2935.25,-1.6211415e-06,-9.2378335e-05,-9.2455077e-05,1.6301184e-06,476794
476840,3,313.16153,50.939724,3841.45,2938.15,-1.6382934e-06,-9.2402874e-05,-9.2455412e-05,1.614875e-06,476842
477186,4,92.263748,12.352939,1753.7,3013.8,-1.2691844e-06,-9.238674e-05,-9.2447088e-05,1.2612132e-06,477188
477214,1,92.524086,12.988653,-365.31,3063.55,-1.2927738e-06,-9.2497132e-05,-9.2485709e-05,1.3402123e-06,477215
477262,3,299.53372,26.370754,3850.8,2933.95,-1.5927006e-06,-9.2476119e-05,-9.2426635e-05,1.595961e-06,477263
477336,3,319.85654,55.071815,3830.6,2938.75,-1.6203037e-06,-9.2467129e-05,-9.2441638e-05,1.606933e-06,477337
477743,1,300.06229,23.621996,-388.58,3072.6,-1.4092257e-06,-9.2484661e-05,-9.248258e-05,1.4363984e-06,477742
477906,3,72.406837,43.234921,3838.8,2956.5,-1.4567485e-06,-9.2470764e-05,-9.2449467e-05,1.4343447e-06,477905
477961,3,90.303383,22.985054,3850.25,2938.95,-1.4813135e-06,-9.2396605e-05,-9.2463219e-05,1.4623386e-06,477963
478032,3,90.598167,20.685036,3853.7,2933.35,-1.4967155e-06,-9.2473325e-05,-9.2454837e-05,1.4808106e-06,478031
478116,1,285.59933,3.179076,-304.92,3065.35,-1.4283843e-06,-9.2486553e-05,-9.2447714e-05,1.4289948e-06,478117
478116,4,285.60294,3.179076,1808.85,3009.0,-1.4008077e-06,-9.2479284e-05,-9.2453127e-05,1.3630842e-06,478117
478145,1,307.33383,44.884914,-326.07,3068.2,-1.4187092e-06,-9.2428341e-05,-9.2452981e-05,1.4422353e-06,478147
